editora,link,qtde_livros,codigo
Intrínseca,/editora/11-intrinseca,1330,11
Sextante,/editora/19-sextante,1381,19
Arqueiro,/editora/21-arqueiro,578,21
Galera Record,/editora/25-galera-record,834,25
Rocco,/editora/41-rocco,3505,41
Valentina,/editora/64-valentina,101,64
Editora Planeta,/editora/67-editora-planeta,1866,67
Gutenberg,/editora/73-gutenberg,214,73
Verus,/editora/98-verus,510,98
HarperCollins Brasil,/editora/100-harpercollins-brasil,410,100
Universo dos Livros,/editora/102-universo-dos-livros,830,102
Universo Geek,/editora/121-universo-geek,22,121
The Gift Box Editora,/editora/135-the-gift-box-editora,97,135
Excelsior,/editora/136-excelsior,24,136
AllBook,/editora/139-allbook,56,139
Martin Claret,/editora/141-martin-claret,215,141
